--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
07-07 03:02:14.293   406  1189 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:14.332   406  1189 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:14.410   406  1754 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:14.457   406  1754 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:14.559   406   680 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:14.598   406   680 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:14.660   406  1608 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:14.699   406  1608 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:14.770   406   406 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:14.809   406   406 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:14.879   406   682 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:14.910   406   682 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:14.996   406  1802 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:15.035   406  1802 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:15.160   406   417 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:15.199   406   417 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:15.285   406  1758 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:15.324   406  1758 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:15.402   406   691 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:15.434   406   691 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:15.520   406  1753 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:15.551   406  1753 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:15.629   406   660 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:15.668   406   660 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:15.762   406   418 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:15.824   406   418 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:15.887   406  1803 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:15.918   406  1803 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:16.004   406   681 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:16.043   406   681 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:16.129   406   669 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:16.176   406   669 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:16.254   406  1189 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:16.301   406  1189 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:16.387   406  1754 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:16.465   406  1754 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:16.574   406  1608 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:16.613   406  1608 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:16.699   406   406 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:16.746   406   406 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:16.832   406   682 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:16.879   406   682 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:16.981   406  1802 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:17.043   406  1802 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:17.160   406   417 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:17.215   406   417 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:17.402   406  1758 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:17.473   406  1758 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:17.590   406   691 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:17.645   406   691 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:17.754   406  1753 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:17.809   406  1753 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:17.918   406   660 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:18.012   406   660 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:18.207   406   418 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:18.324   406   418 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:18.543   406  1803 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:18.777   406  1803 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:18.996   406   681 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:19.106   406   681 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:19.293   406  1189 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:19.402   406  1189 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:19.637   406   680 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:19.762   406   680 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:19.949   406   417 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:19.981   406   417 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
