--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
07-07 03:12:19.701   416   416 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:19.794   416   427 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:19.833   416   427 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:19.935   416  1565 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:19.974   416  1565 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:20.060   416   737 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:20.115   416   737 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:20.232   416  1567 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:20.271   416  1567 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:20.357   416  1566 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:20.404   416  1566 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:20.498   416  1995 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:20.544   416  1995 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:20.630   416   637 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:20.677   416   637 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:20.802   416   748 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:20.880   416   748 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:21.013   416   738 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:21.068   416   738 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:21.208   416   745 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:21.271   416   745 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:21.380   416   651 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:21.427   416   651 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:21.544   416   652 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:21.638   416   652 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:21.779   416   428 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:21.833   416   428 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:21.966   416  1565 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:22.037   416  1565 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:22.169   416   416 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:22.240   416   416 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:22.373   416   427 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:22.435   416   427 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:22.583   416  1995 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:22.716   416  1995 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:22.849   416   637 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:22.966   416   637 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:23.248   416   748 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:23.388   416   748 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:23.638   416   737 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:23.787   416   737 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
